timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-09-03,715.1700,718.9150,704.6600,717.6700,717.6700,120399285,0.0000
2026-08-28,709.6600,724.1250,702.7000,716.4300,716.4300,144534003,0.0000
2026-08-21,732.9500,734.5800,708.5200,713.4400,713.4400,178047287,0.0000
2026-08-14,722.3900,734.3900,715.5000,731.0700,731.0700,139985647,0.0000
2026-08-07,688.3000,728.5400,685.8200,723.0300,723.0300,202390102,0.0000
2026-07-31,691.6800,695.7700,661.1400,687.9900,687.9900,268607647,0.0000
2026-07-24,702.1600,710.0500,682.4800,684.2300,684.2300,174013313,0.0000
2026-07-17,717.7200,724.3600,686.7600,695.3300,695.3300,192139353,0.0000
2026-07-10,719.9300,726.3900,700.9100,725.5100,725.5100,168377296,0.0000
2026-07-02,713.9900,737.6200,705.1720,712.6000,712.6000,178950790,0.0000
2026-06-26,742.0200,745.4500,702.8100,706.5200,706.5200,246579093,0.8135
2026-06-18,738.1000,744.7599,720.8500,740.6200,739.8045,193882808,0.0000
2026-06-12,717.8100,725.6600,686.3700,721.3400,720.5457,327702783,0.0000
2026-06-05,737.0400,748.6500,704.3200,705.0600,704.2836,244635145,0.0000
2026-05-29,725.9600,741.6300,724.1600,738.3100,737.4970,139784986,0.0000
2026-05-22,711.5400,722.1200,695.2500,717.5400,716.7499,201599167,0.0000
2026-05-15,710.3600,722.0300,696.6400,708.9300,708.1494,207024882,0.0000
2026-05-08,674.6600,711.2300,668.9000,711.2300,710.4468,198521053,0.0000
2026-05-01,663.4000,675.9700,653.8100,674.1500,673.4077,178384639,0.0000
2026-04-24,648.0400,664.5100,642.2100,663.8800,663.1490,199750313,0.0000
2026-04-17,609.4800,650.0000,608.1100,648.8500,648.1355,228805029,0.0000
2026-04-10,586.2300,613.6700,578.4001,611.0700,610.3971,220018758,0.0000
2026-04-02,567.3800,587.7390,555.6000,584.9800,584.3358,296857460,0.0000
2026-03-27,590.5200,595.0800,561.5700,562.5800,561.9605,372356868,0.7328
2026-03-20,600.0400,605.9000,578.5400,582.0600,580.6953,319873979,0.0000
2026-03-13,594.2250,613.2900,591.3300,593.7200,592.3280,352243956,0.0000
2026-03-06,598.8600,612.8800,591.8700,599.7500,598.3439,419128778,0.0000
2026-02-27,606.6050,616.8300,599.0500,607.2900,605.8662,338897562,0.0000
2026-02-20,598.3750,610.3500,593.3400,608.8100,607.3826,268352593,0.0000
2026-02-13,607.5400,617.5200,596.4200,601.9200,600.5088,319927967,0.0000
2026-02-06,618.7000,629.9800,594.7600,609.6500,608.2207,378767745,0.0000
2026-01-30,623.2100,636.6000,618.2700,621.8700,620.4120,270613512,0.0000
2026-01-23,610.5300,625.3999,607.0500,622.7200,621.2600,246503139,0.0000
2026-01-16,622.3100,630.0000,614.5600,621.2600,619.8034,269461717,0.0000
2026-01-09,619.3200,627.9400,616.7200,626.6500,625.1808,234970893,0.0000
2026-01-02,620.1000,622.8500,610.1500,613.1200,611.6825,166290752,0.0000
2025-12-26,621.3500,625.5150,617.7700,623.8900,622.4273,132252031,0.7941
2025-12-19,618.3700,618.4200,600.2800,617.0500,614.8149,314590996,0.0000
2025-12-12,627.2100,629.2100,611.3600,613.6200,611.3973,267401199,0.0000
2025-12-05,613.6300,628.9200,612.5200,625.4800,623.2143,244022969,0.0000
2025-11-28,595.2800,619.3200,595.1600,619.2500,617.0069,183157008,0.0000
2025-11-21,606.3000,614.0300,580.7400,590.0700,587.9326,441376483,0.0000
2025-11-14,618.9200,624.8600,597.1700,608.8600,606.6545,299654081,0.0000
2025-11-07,635.1100,635.8200,598.6700,609.7400,607.5313,302764967,0.0000
2025-10-31,624.5200,637.0100,624.0300,629.0700,626.7913,310650918,0.0000
2025-10-24,607.1400,618.4200,599.7400,617.1000,614.8647,242255431,0.0000
2025-10-17,599.6800,608.3100,590.1300,603.9300,601.7424,340888062,0.0000
